hex_id,k4clst_sub,c4clst_sub
8919434de67ffff,A,A
89195cb760fffff,A,A
89195cb7447ffff,A,A
89195cb66b3ffff,B,C
89195cb604fffff,A,A
89195cb44d7ffff,B,C
89195cb7297ffff,B,C
8919434d9d3ffff,C,D
8919434de77ffff,A,A
89195cb7423ffff,C,D
8919434cb43ffff,C,D
89195cb449bffff,C,C
89195cb7537ffff,B,C
89195cb751bffff,D,B
89195cb627bffff,D,B
8919434cbc7ffff,B,C
8919434db23ffff,B,C
89195cb6287ffff,D,B
8919434d863ffff,C,D
8919434db4bffff,C,D
89195cb71d7ffff,C,D
8919434db2bffff,B,C
8919434ca97ffff,C,D
89195cb7113ffff,B,C
8919434d94fffff,D,B
89195cb4687ffff,B,C
8919434de2fffff,C,C
8919434dbd3ffff,B,C
89195cb64afffff,C,D
8919434d8abffff,B,C
89195cb752bffff,D,B
89195cb448bffff,C,D
89195cb75c7ffff,C,D
89195cb75d7ffff,D,B
89195cb74cfffff,C,D
89195cb66a3ffff,B,B
8919434d953ffff,D,B
89195cb63d3ffff,C,D
89195cb703bffff,C,D
8919434d857ffff,C,D
89195cb648bffff,C,D
8919434dd4fffff,B,C
89195cb66b7ffff,B,C
89195cb70b3ffff,B,C
89195cb64c3ffff,B,C
89195cb62c3ffff,C,D
89195cb623bffff,A,A
89195cb719bffff,B,C
89195cb7037ffff,C,D
8919434d947ffff,D,B
89195cb6283ffff,D,B
89195cb7593ffff,D,B
8919434ce6bffff,C,D
8919434dba3ffff,B,C
8919434c84fffff,C,D
89195cb7047ffff,B,C
89195cb66abffff,D,B
89195cb6293ffff,D,B
89195cb640bffff,B,C
8919434da53ffff,C,D
89195cb66d7ffff,D,B
89195cb445bffff,C,D
89195cb64d3ffff,C,D
8919434dd23ffff,B,C
89195cb63cbffff,B,C
89195cb6673ffff,A,A
89195cb7503ffff,D,B
89195cb664bffff,D,B
8919434cab7ffff,C,D
8919434db73ffff,B,C
89195cb75b7ffff,C,D
89195cb6493ffff,B,C
8919434d987ffff,D,B
89195cb660fffff,D,B
89195cb6417ffff,C,D
8919434ddafffff,B,C
8919434db4fffff,B,C
8919434db87ffff,D,B
89195cb60d3ffff,B,C
8919434ca93ffff,C,D
89195cb63dbffff,B,C
89195cb6457ffff,C,D
8919434ca1bffff,B,C
8919434ce2bffff,C,D
8919434da4bffff,A,A
89195cb754fffff,C,D
89195cb62b3ffff,C,D
89195cb641bffff,C,D
8919434ce67ffff,C,D
8919434d8bbffff,B,C
89195cb4483ffff,C,D
8919434da23ffff,C,D
8919434dabbffff,C,D
89195cb75b3ffff,C,D
89195cb62cfffff,B,C
89195cb6423ffff,C,D
8919434d913ffff,B,C
8919434dac7ffff,C,D
8919434ca23ffff,B,C
8919434da0fffff,C,D
8919434da67ffff,C,D
89195cb62c7ffff,D,B
89195cb71d3ffff,B,C
89195cb7017ffff,A,A
89195cb2dafffff,C,A
8919434d847ffff,C,D
89195cb755bffff,B,C
89195cb44cbffff,B,C
89195cb712bffff,B,C
89195cb66c7ffff,D,B
8919434da3bffff,C,D
89195cb7083ffff,C,D
89195cb66cfffff,B,C
89195cb7577ffff,D,B
8919434ca77ffff,A,A
89195cb763bffff,C,D
89195cb65cbffff,C,D
89195cb7023ffff,A,A
8919434caafffff,B,C
8919434db6fffff,D,D
89195cb6443ffff,B,C
89195cb742bffff,C,D
8919434da7bffff,A,A
89195cb750bffff,D,B
8919434caabffff,C,D
8919434ca2bffff,B,C
8919434d993ffff,B,C
89195cb44c7ffff,C,C
8919434dd0fffff,C,D
89195cb2dbbffff,A,A
8919434cb4fffff,A,A
89195cb74d3ffff,A,A
89195cb74d7ffff,C,D
8919434d957ffff,B,C
89195cb662bffff,A,A
8919434d9dbffff,D,B
8919434ca63ffff,B,C
8919434d9cbffff,D,B
89195cb646bffff,B,C
89195cb6683ffff,D,B
8919434ddbbffff,B,C
89195cb750fffff,D,B
8919434cb4bffff,A,A
89195cb6057ffff,C,D
89195cb6043ffff,A,A
8919434dd4bffff,B,C
89195cb6663ffff,A,A
89195cb7493ffff,C,D
8919434de07ffff,A,A
8919434ca6fffff,C,D
89195cb4413ffff,B,C
8919434ca4fffff,C,D
8919434d9bbffff,B,C
89195cb744fffff,C,D
89195cb74b3ffff,C,D
8919434da97ffff,C,D
8919434dbdbffff,B,C
8919434d85bffff,C,D
8919434db6bffff,D,B
89195cb4403ffff,A,A
89195cb4473ffff,C,D
89195cb64dbffff,B,C
