hex_id,k4clst_sub_di,c4clst_sub_di
8919434de67ffff,A,A
89195cb760fffff,A,A
89195cb7447ffff,C,B
89195cb66b3ffff,D,C
89195cb604fffff,A,A
89195cb44d7ffff,D,C
89195cb7297ffff,D,C
8919434d9d3ffff,A,C
8919434de77ffff,A,A
89195cb7423ffff,C,A
8919434cb43ffff,A,C
89195cb449bffff,D,C
89195cb7537ffff,B,B
89195cb751bffff,B,D
89195cb627bffff,B,D
8919434cbc7ffff,B,B
8919434db23ffff,B,D
89195cb6287ffff,B,D
8919434d863ffff,C,B
8919434db4bffff,A,A
89195cb71d7ffff,C,B
8919434db2bffff,B,D
8919434ca97ffff,D,A
89195cb7113ffff,D,C
8919434d94fffff,B,D
89195cb4687ffff,D,C
8919434de2fffff,A,C
8919434dbd3ffff,B,B
89195cb64afffff,A,C
8919434d8abffff,C,B
89195cb752bffff,D,D
89195cb448bffff,C,B
89195cb75c7ffff,C,B
89195cb75d7ffff,B,D
89195cb74cfffff,A,C
89195cb66a3ffff,B,D
8919434d953ffff,B,D
89195cb63d3ffff,C,B
89195cb703bffff,C,B
8919434d857ffff,B,D
89195cb648bffff,C,B
8919434dd4fffff,B,B
89195cb66b7ffff,D,C
89195cb70b3ffff,D,C
89195cb64c3ffff,D,D
89195cb62c3ffff,C,B
89195cb623bffff,C,A
89195cb719bffff,D,C
89195cb7037ffff,C,B
8919434d947ffff,B,D
89195cb6283ffff,B,D
89195cb7593ffff,B,D
8919434ce6bffff,A,A
8919434dba3ffff,B,B
8919434c84fffff,C,B
89195cb7047ffff,D,C
89195cb66abffff,B,D
89195cb6293ffff,B,D
89195cb640bffff,B,B
8919434da53ffff,C,A
89195cb66d7ffff,B,D
89195cb445bffff,A,A
89195cb64d3ffff,C,B
8919434dd23ffff,D,C
89195cb63cbffff,D,C
89195cb6673ffff,C,B
89195cb7503ffff,B,D
89195cb664bffff,B,D
8919434cab7ffff,C,B
8919434db73ffff,D,C
89195cb75b7ffff,B,B
89195cb6493ffff,D,C
8919434d987ffff,B,D
89195cb660fffff,B,D
89195cb6417ffff,C,B
8919434ddafffff,D,C
8919434db4fffff,D,C
8919434db87ffff,B,D
89195cb60d3ffff,D,C
8919434ca93ffff,A,A
89195cb63dbffff,B,D
89195cb6457ffff,A,A
8919434ca1bffff,D,C
8919434ce2bffff,A,A
8919434da4bffff,A,A
89195cb754fffff,B,B
89195cb62b3ffff,B,B
89195cb641bffff,C,B
8919434ce67ffff,A,A
8919434d8bbffff,D,C
89195cb4483ffff,C,B
8919434da23ffff,C,A
8919434dabbffff,D,C
89195cb75b3ffff,B,B
89195cb62cfffff,D,C
89195cb6423ffff,C,B
8919434d913ffff,D,C
8919434dac7ffff,A,A
8919434ca23ffff,D,C
8919434da0fffff,C,A
8919434da67ffff,C,B
89195cb62c7ffff,B,D
89195cb71d3ffff,D,C
89195cb7017ffff,C,A
89195cb2dafffff,A,A
8919434d847ffff,C,B
89195cb755bffff,B,D
89195cb44cbffff,D,C
89195cb712bffff,D,C
89195cb66c7ffff,B,D
8919434da3bffff,C,B
89195cb7083ffff,C,B
89195cb66cfffff,B,B
89195cb7577ffff,B,D
8919434ca77ffff,C,A
89195cb763bffff,C,B
89195cb65cbffff,D,C
89195cb7023ffff,C,A
8919434caafffff,D,C
8919434db6fffff,B,D
89195cb6443ffff,D,D
89195cb742bffff,A,A
8919434da7bffff,A,A
89195cb750bffff,B,D
8919434caabffff,C,B
8919434ca2bffff,C,B
8919434d993ffff,D,C
89195cb44c7ffff,C,B
8919434dd0fffff,A,C
89195cb2dbbffff,A,A
8919434cb4fffff,A,A
89195cb74d3ffff,A,A
89195cb74d7ffff,D,A
8919434d957ffff,D,C
89195cb662bffff,C,A
8919434d9dbffff,D,D
8919434ca63ffff,D,C
8919434d9cbffff,B,D
89195cb646bffff,D,C
89195cb6683ffff,B,D
8919434ddbbffff,D,C
89195cb750fffff,B,D
8919434cb4bffff,A,A
89195cb6057ffff,C,B
89195cb6043ffff,C,A
8919434dd4bffff,B,B
89195cb6663ffff,C,B
89195cb7493ffff,C,A
8919434de07ffff,A,A
8919434ca6fffff,A,C
89195cb4413ffff,B,D
8919434ca4fffff,A,A
8919434d9bbffff,B,D
89195cb744fffff,C,B
89195cb74b3ffff,D,C
8919434da97ffff,C,B
8919434dbdbffff,D,C
8919434d85bffff,A,C
8919434db6bffff,B,D
89195cb4403ffff,C,A
89195cb4473ffff,C,B
